year,country_name,song_count,x,y
2015,South Africa,16,25.08388384,-29.0003377
2015,South Korea,9,127.83916926,36.3852463
2015,Sweden,11,16.74371219,62.79232016
2015,United Kingdom,105,-2.86563362,54.12387156
2015,United States,974,-112.46167057,45.67955203
2016,Bosnia and Herzegovina,2,17.76876588,44.17449912
2016,Germany,2,10.38577693,51.10697903
2016,Italy,1,12.07000946,42.79663568
2016,Jamaica,2,-77.31482556,18.15695476
2016,Netherlands,2,5.2814735,52.10080804
2016,Saint Vincent and The Grenadines,1,,
2016,United Kingdom,208,-2.86563362,54.12387156
2016,United States,83,-112.46167057,45.67955203
2017,Canada,39,-98.30775723,61.36206827
2017,Jamaica,1,-77.31482556,18.15695476
2017,Netherlands,1,5.2814735,52.10080804
2017,United Kingdom,1,-2.86563362,54.12387156
2017,United States,8,-112.46167057,45.67955203
